theme,pain_point,severity,root_cause_hypothesis,self_service_gap,ticket_id,issue_type,period
money_not_received,cannot access expected funds,high,internal payout processing delay causing credit hold,True,TCK-127421,refund_not_received,post
money_not_received,cannot receive expected refund,high,refund processing delay due to payment gateway backlog,True,TCK-123757,refund_not_received,post
timeline_not_met,cannot get refund within promised time,high,refund processing batch delayed,True,TCK-123911,refund_not_received,post
money_not_received,Cannot receive expected refund,high,Payments backend delay causing refund not processed,True,TCK-131884,refund_not_received,post
money_not_received,cannot access credited funds,high,delayed processing in payout system,True,TCK-122800,refund_not_received,post
money_not_received,cannot receive refund,high,refund processing delayed by backend batch job,True,TCK-129791,refund_not_received,post
money_not_received,Cannot get refund for order,high,Refund processing delay due to manual review,True,TCK-121843,refund_not_received,post
money_not_received,cannot receive expected refund,high,refund processing delay in payment system,True,TCK-126760,refund_not_received,post
money_not_received,cannot receive refunded money,high,refund processing delay or payment gateway integration issue,False,TCK-119647,refund_not_received,post
money_not_received,cannot see refund after return,high,refund processing delay in payment backend,True,TCK-122947,refund_not_received,post
timeline_not_met,cannot receive refund within promised timeframe,high,refund delayed by manual verification process,True,TCK-128270,refund_not_received,post
money_not_received,cannot receive expected refund,high,refund processing delay in payment system,True,TCK-119374,refund_not_received,post
money_not_received,cannot access credited funds,high,delayed processing in payouts system,True,TCK-121883,refund_not_received,post
money_not_received,cannot see refunded money in account,high,payment processor delay or missing payout trigger,True,TCK-134131,refund_not_received,post
timeline_not_met,cannot receive refund,high,payments system delay causing refund processing lag,True,TCK-128389,refund_not_received,post
timeline_not_met,cannot confirm refund has been received,high,refund batch processing delayed beyond expected window,True,TCK-123255,refund_not_received,post
money_not_received,cannot receive expected refund,high,Refund processing delayed by backend batch job,True,TCK-118825,refund_not_received,post
timeline_not_met,cannot get refund within promised time,high,refund batch delayed due to manual review,True,TCK-129310,refund_not_received,post
money_not_received,cannot access expected funds,high,delayed payout processing or missing transaction,True,TCK-131309,refund_not_received,post
money_not_received,cannot access credited funds,high,delayed processing in payments system,True,TCK-132089,refund_not_received,post
money_not_received,cannot access credited funds,high,internal payout processing delay causing credit hold,True,TCK-130042,refund_not_received,post
money_not_received,cannot see or receive expected refund,high,refund processing delay in payment backend,True,TCK-120049,refund_not_received,post
money_not_received,cannot see credited funds,high,internal payout delay and missing status updates,True,TCK-130687,refund_not_received,post
money_not_received,cannot receive refunded money,high,refund processing delay or payment gateway integration issue,False,TCK-123768,refund_not_received,post
money_not_received,cannot access credited funds,high,delayed processing in payout system,True,TCK-133143,refund_not_received,post
money_not_received,cannot receive expected refund,high,refund processing delay in payment system,True,TCK-118720,refund_not_received,post
no_response_from_support,cannot find out when refund will be received,high,support tickets not being escalated to refunds team promptly,True,TCK-122028,refund_not_received,post
money_not_received,Cannot get refund for order,high,Refund pending due to manual processing delay,True,TCK-122432,refund_not_received,post
money_not_received,cannot receive expected refund,high,refund processing delay or status not displayed,True,TCK-126308,refund_not_received,post
timeline_not_met,cannot verify refund has been processed,medium,refund batch delayed by backend processing backlog,True,TCK-119415,refund_not_received,post
money_not_received,cannot receive expected refund,high,refund processing delay in payment system,True,TCK-127716,refund_not_received,post
timeline_not_met,cannot receive refund promptly,high,refund processing delayed by manual review,True,TCK-119971,refund_not_received,post
money_not_received,cannot see or receive expected refund,high,payment processor delay causing pending refund,True,TCK-129067,refund_not_received,post
money_not_received,cannot receive refund for returned order,high,refund pending due to delayed processing or manual review,True,TCK-120953,refund_not_received,post
money_not_received,cannot receive expected refund,high,refund processing delay in payment system,True,TCK-126841,refund_not_received,post
money_not_received,cannot receive refunded money,high,refund processing delay or payment provider integration issue,False,TCK-130467,refund_not_received,post
money_not_received,cannot receive refund,high,refund processing delay in payment system,True,TCK-131381,refund_not_received,post
money_not_received,cannot access credited funds,high,delayed processing or payout system bug,True,TCK-119264,refund_not_received,post
money_not_received,cannot access expected funds,high,delayed payout processing or settlement backlog,True,TCK-120964,refund_not_received,post
timeline_not_met,cannot receive refund within promised timeframe,high,Refund processing delayed by manual review backlog,True,TCK-124735,refund_not_received,post
money_not_received,cannot receive approved refund,high,payment processor delay or bank transfer failure,True,TCK-127444,refund_not_received,post
timeline_not_met,cannot verify refund has been processed,high,"backend refund batch delayed, status not updated promptly",True,TCK-118962,refund_not_received,post
money_not_received,cannot receive expected refund,high,refund processing delay in payment system,True,TCK-129070,refund_not_received,post
money_not_received,cannot receive refund for returned order,high,refund batch processing delayed or not triggered,True,TCK-129499,refund_not_received,post
money_not_received,cannot receive refund,high,"refund status not displayed, causing processing delays",True,TCK-120757,refund_not_received,post
money_not_received,cannot receive refund,high,refund status not updated in system,True,TCK-133888,refund_not_received,post
money_not_received,cannot get refund for returned order,high,backend refund processing lag causing delayed credit to customer,True,TCK-125915,refund_not_received,post
money_not_received,cannot receive expected refund,medium,refund pending due to manual processing delay,True,TCK-120338,refund_not_received,post
money_not_received,cannot receive expected refund,medium,refund pending due to manual processing delay,True,TCK-131988,refund_not_received,post
money_not_received,cannot receive refunded money,high,delay in payment processor settlement causing refund not posted,True,TCK-125431,refund_not_received,post
timeline_not_met,cannot get refund within promised timeframe,high,refund processing batch delayed in backend,True,TCK-112979,refund_not_received,pre
timeline_not_met,Cannot receive expected refund,high,Refund processing batch delayed due to system backlog,False,TCK-117893,refund_not_received,pre
money_not_received,cannot access credited funds,high,delayed processing in payout system,True,TCK-110395,refund_not_received,pre
money_not_received,cannot receive refunded money,high,refund processing delay or payment provider integration issue,False,TCK-111129,refund_not_received,pre
money_not_received,cannot see refunded money in account,high,payment processor delay causing refund not posted,False,TCK-107210,refund_not_received,pre
money_not_received,cannot see when refund will be received,high,refund status not updated in system,True,TCK-117216,refund_not_received,pre
money_not_received,cannot receive approved refund,high,refund processing delay or payment provider integration issue,False,TCK-112488,refund_not_received,pre
money_not_received,cannot access credited funds,high,delayed payout processing or missing verification,True,TCK-106883,refund_not_received,pre
timeline_not_met,cannot receive refund,high,refund pending manual review causing delay,True,TCK-107221,refund_not_received,pre
money_not_received,cannot see refunded money in account,high,bank transfer delay or refund processing error,False,TCK-104987,refund_not_received,pre
timeline_not_met,cannot receive refund within promised timeframe,high,refund batch runs weekly causing processing delay,True,TCK-116045,refund_not_received,pre
money_not_received,cannot receive expected refund,high,refund processing delay or status not displayed,True,TCK-104495,refund_not_received,pre
money_not_received,cannot see approved refund in account,high,payment processor delay or bank transfer failure,True,TCK-108928,refund_not_received,pre
money_not_received,cannot see received refund,high,payment processor delay causing pending refund,True,TCK-107157,refund_not_received,pre
money_not_received,cannot receive expected refund,high,refund processing delay in payment system,True,TCK-106086,refund_not_received,pre
money_not_received,cannot receive refund,medium,refund processing delay in finance system,True,TCK-111388,refund_not_received,pre
money_not_received,cannot see refunded money in account,high,payment processor settlement delay,False,TCK-105434,refund_not_received,pre
timeline_not_met,cannot get refund within promised timeframe,high,refund processing delayed by manual review batch,True,TCK-100990,refund_not_received,pre
money_not_received,cannot access credited funds,high,delayed processing or payout system issue,True,TCK-103569,refund_not_received,pre
money_not_received,cannot receive approved refund,high,refund processing delay or payment provider integration issue,False,TCK-101367,refund_not_received,pre
